Already Exists,Success,SiteURL
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/GPHEServiceAuditandMaintenanceTraining
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/GroupIndirectProcurement
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HaarslevKAM-TEAMSite
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Hkansfrsteproject
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/hawkeyerealtime
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HeatTransferServiceSales
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HelpdeskFAQ
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/hemmabakat
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HFH
TRUE,TRUE,https://alfalavalonline.sharepoint.com/sites/how-we-work-prototype
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HRPeopleDevelopment
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HRTumba
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HSSCostReductionforAsiaFlexModule
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HSSRoadmap-Tumba
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HSSSalesTools
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HSSTrainingCommunity
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/HSSZA
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/IACentralEurope
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Team_GlobalServiceprojectRightSalesrequirement
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Team_GlobalServiceprojectIBfuturevision
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/IBCPTET
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ICC
TRUE,TRUE,https://alfalavalonline.sharepoint.com/sites/ICC1
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/IFAT
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/IFAT2018WaterHub
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Exhibits-IFAT
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/IFATOnSite
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Ignite2017
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Team_CIT_Infrastructure_Mgmt_EMEA
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/IMGlobal
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ImportantRequests
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/IndustrialFluids
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ESDECIWW
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Industrysitesconcept
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Pianodedecisione
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/SecurityOperations717
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/InformationSecurity
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/InformationSecurityCollaboration
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/InstalledBases
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/installedbasetest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/IntegrationSupport
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Integritytesting-GPHEservice
TRUE,TRUE,https://alfalavalonline.sharepoint.com/sites/service-internationalmarineservice
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/intouchanalytics
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/InTouchRussia
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/InTouchRussia2
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Introducenewweldingequipment
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/InvestmentcastingNewsupplier
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/iscala_test
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/IT
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ITandPrimePerformanceProjects
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ITFRNE
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/CIT_Project_Portfolio_Management
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ITServiceDeskChina
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ITSolutionDocumentation
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/EnergyMidEurope
TRUE,TRUE,https://alfalavalonline.sharepoint.com/sites/IT-ShowbackRegister
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/JacquelineNjord
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Jardox
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Joakim
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Jonas-Test
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/jonastest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/jonastest54
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/jonastest2
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/jonastest88
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/JornadadeLimpiezaenlaBodega
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/WagenborgKAMteam
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/KathabarBusinessPlan
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/globalprogramUAT-kdrtest02
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/globalprogramUAT-kdrtest1121092019
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/globalprogramUAT-kdrtest4121092019
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/globalprogramUAT-kdrtestportalsitecreation3
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/globalprogramUAT-kdrportaltest1
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/KenoshaSanitaryFluidhandling
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Engines
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/lasttestfornow
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/LATAMPartnerDayscollaborationsite
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/LatinAmericaAMServiceDesk
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/letstrythisagain
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/lifescience
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Lilian
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Liliantst
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/LocalITFontanil-Nevers
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Team_Global_Service_Management
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/lskdjfo
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/Lunar
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/M3logonnotworkingOne4ALDevTestPreprod
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/M30PressureTest
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/MakeWarehouse
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/MakeMorePlates-BlackBeltproject
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/ManagementTeamColVenPa
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/MarineDivision
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/FuelGas
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/marinepowerbi-testversion
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/marineservicechina
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/groupsinvestigation
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/MidEuropeCommunicationsTeam
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/MidEuropeEnergyManagementTeam
FALSE,TRUE,https://alfalavalonline.sharepoint.com/sites/-MiddleEast
